City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,wewak,-3.5534,143.6268,29.63,72,98,2.46,PG,1703907566
283,quiroga,19.6667,-101.5333,8.9,74,2,0.86,MX,1703907566
284,la rinconada,37.4873,-5.9826,11.2,90,20,3.09,ES,1703907566
285,castillos,-34.1667,-53.8333,14.52,54,54,5.21,UY,1703907567
286,fort bragg,35.139,-79.006,6.57,74,40,3.09,US,1703907567
287,kuching,1.55,110.3333,31.12,73,40,0.0,MY,1703907567
288,piriapolis,-34.8682,-55.2744,16.12,58,75,8.23,UY,1703907567
289,ebon,4.582,168.6964,28.12,78,100,4.95,MH,1703907567
290,khadyzhensk,44.4256,39.5319,3.97,56,25,1.91,RU,1703907568
291,nikolayevsk-on-amure,53.1406,140.73,-22.27,77,30,2.85,RU,1703907568
292,katabu,-4.9333,122.5167,32.61,56,75,0.93,ID,1703907568
293,queenstown,-31.8976,26.8753,18.03,82,90,1.07,ZA,1703907568
294,la libertad,-2.2333,-80.9,24.23,84,100,4.04,EC,1703907569
295,kingston,17.997,-76.7936,27.53,78,20,1.54,JM,1703907476
296,holualoa,19.6228,-155.9522,23.91,81,40,2.57,US,1703907569
297,qamdo,31.1667,97.2333,-6.93,18,0,0.79,CN,1703907569
298,dudinka,69.4058,86.1778,-25.74,96,100,6.26,RU,1703907543
299,arraial do cabo,-22.9661,-42.0278,24.8,91,95,5.96,BR,1703907570
300,mirante do paranapanema,-22.2919,-51.9064,25.61,68,99,1.9,BR,1703907570
301,neiafu,-18.65,-173.9833,29.38,70,75,5.14,TO,1703907570
302,zabaykal'sk,49.6333,117.3167,-13.51,87,100,1.64,RU,1703907570
303,altai,46.3722,96.2583,-6.63,48,99,1.98,MN,1703907571
304,auna,10.1881,4.7232,20.44,24,0,2.63,NG,1703907571
305,sao mateus do sul,-25.8742,-50.3828,17.86,99,76,1.13,BR,1703907571
306,tolanaro,-25.0319,46.9987,26.04,83,40,7.2,MG,1703907572
307,yeppoon,-23.1333,150.7333,33.88,53,0,7.14,AU,1703907572
308,crescent city,41.756,-124.2018,12.2,93,100,7.2,US,1703907572
309,mariental,-24.6333,17.9667,18.01,58,0,2.62,NA,1703907572
310,trancas,-26.2314,-65.2803,19.45,85,100,1.06,AR,1703907572
311,labrador city,52.9463,-66.9114,-7.05,86,100,1.54,CA,1703907306
312,hinis,39.3606,41.7022,-6.62,67,1,1.29,TR,1703907573
313,shevchenko,48.5,35.0,4.11,85,78,3.56,UA,1703907573
314,namibe,-15.1961,12.1522,19.88,82,78,2.49,AO,1703907573
315,roma,43.2128,-75.4557,4.42,96,100,4.63,US,1703907434
316,mount gambier,-37.8333,140.7667,18.59,45,49,5.07,AU,1703907303
317,topchikha,52.8192,83.1185,-3.69,77,60,10.6,RU,1703907574
318,yarmouth,41.7057,-70.2286,8.26,97,100,2.68,US,1703907574
319,bamboo flat,11.7,92.7167,30.05,70,40,4.63,IN,1703907575
320,nuku'alofa,-21.1333,-175.2,29.19,70,20,6.69,TO,1703907575
321,arkhangel'sk,64.5401,40.5433,-18.94,84,20,0.0,RU,1703907575
322,bulayevo,54.9056,70.4439,-10.93,87,100,10.2,KZ,1703907575
323,okhotsk,59.3833,143.3,-27.26,83,39,6.39,RU,1703907575
324,port shepstone,-30.7414,30.455,20.63,81,20,7.02,ZA,1703907576
325,nemuro,43.3236,145.575,0.96,66,12,8.92,JP,1703907576
326,gasa,31.5,34.4667,15.64,63,0,0.53,PS,1703907576
327,badger,64.8,-147.5333,-32.86,73,0,0.0,US,1703907576
328,akureyri,65.6835,-18.0878,-14.04,85,100,1.03,IS,1703907577
329,kantang,7.4054,99.5156,31.05,66,40,4.12,TH,1703907577
330,tazovsky,67.4667,78.7,-14.84,93,100,9.21,RU,1703907577
331,new norfolk,-42.7826,147.0587,15.95,41,87,5.23,AU,1703907578
332,korba,22.35,82.6833,22.0,44,23,0.68,IN,1703907578
333,burnie,-41.0667,145.9167,19.69,40,99,5.85,AU,1703907578
334,galliano,29.4422,-90.2992,8.0,76,0,2.57,US,1703907578
335,afaahiti,-17.75,-149.2833,28.93,79,100,2.29,PF,1703907578
336,klyuchi,52.2667,79.1667,-4.43,78,100,9.33,RU,1703907579
337,hamilton,39.1834,-84.5333,3.0,89,100,4.12,US,1703907579
338,bodaybo,57.8506,114.1933,-17.61,96,100,0.61,RU,1703907579
339,zemio,5.0314,25.1361,19.7,41,80,1.2,CF,1703907579
340,tangwani,28.2787,68.9972,18.09,29,74,3.02,PK,1703907580
341,fale old settlement,-9.3852,-171.2468,29.25,69,100,5.98,TK,1703907580
342,vanino,49.0869,140.2543,-13.37,64,6,1.2,RU,1703907580
343,changping,40.2186,116.2197,-0.2,68,53,0.76,CN,1703907580
344,klaksvik,62.2266,-6.589,0.51,68,100,7.47,FO,1703907581
345,newman,37.3138,-121.0208,16.27,70,48,0.89,US,1703907581
346,wilhelmshaven,53.5167,8.1333,6.77,85,61,8.79,DE,1703907581
347,miyang,24.4042,103.4428,17.8,48,12,2.96,CN,1703907581
348,salinopolis,-0.6136,-47.3561,26.48,87,64,3.85,BR,1703907581
349,gemena,3.25,19.7667,21.03,45,54,0.92,CD,1703907582
350,mawlamyine,16.4914,97.6256,27.79,46,92,2.46,MM,1703907582
351,woolgoolga,-30.1106,153.2007,28.36,70,74,3.82,AU,1703907582
352,las tejerias,10.2524,-67.1847,23.01,93,27,1.46,VE,1703907582
353,garoua boulai,5.8833,14.55,17.26,35,53,2.23,CM,1703907583
354,yuzhno-kurilsk,44.0306,145.8556,-0.35,72,100,9.86,RU,1703907583
355,la ronge,55.1001,-105.2842,-10.86,92,40,1.03,CA,1703907583
356,yaren,-0.5472,166.916,28.54,71,100,2.18,NR,1703907583
357,fort st. john,56.2499,-120.8529,-6.06,86,75,2.06,CA,1703907371
358,idri,27.5,13.2667,9.18,60,2,3.19,LY,1703907584
359,igarka,67.4667,86.5833,-12.42,94,100,5.17,RU,1703907584
360,miri,4.4148,114.0089,25.08,100,40,1.54,MY,1703907584
361,hechuan,29.9947,106.2572,8.27,64,0,0.98,CN,1703907585
